Lat_NAD27,Long_NAD27,Collection_Date,Sample_Source,As_ppm,Be_ppm,Ca_pct,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cu_ppm,Fe_pct,K_pct,Mg_pct,Na_pct,Pb_ppm,Zn_ppm,sqi
46.7711,-110.8108,1980,stream/river,8,2,0,1.0,89.0,6.0,52.0,38.0,2.0,2.0,0.0,1.0,29.0,71.0,2
46.7733,-110.8592,1981,stream/river,5,2,2,0.0,88.0,12.0,130.0,22.0,3.0,3.0,1.0,1.0,22.0,82.0,3
46.7417,-110.8569,1982,stream/river,8,2,1,0.0,98.0,7.0,49.0,53.0,3.0,2.0,1.0,1.0,22.0,93.0,4
46.7358,-110.8494,1983,stream/river,8,2,1,0.0,87.0,8.0,46.0,66.0,4.0,2.0,1.0,1.0,23.0,105.0,7
46.7336,-110.8425,1984,stream/river,4,1,4,0.0,62.0,6.0,48.0,17.0,2.0,2.0,2.0,1.0,20.0,70.0,9
46.7317,-110.8369,1985,stream/river,5,1,2,1.0,62.0,8.0,47.0,47.0,3.0,2.0,2.0,1.0,26.0,104.0,5
46.7256,-110.8222,1986,stream/river,7,1,2,0.0,57.0,6.0,43.0,29.0,2.0,2.0,2.0,1.0,23.0,81.0,3
46.7267,-110.7936,1987,stream/river,6,1,10,0.0,50.0,6.0,41.0,32.0,3.0,2.0,1.0,0.0,14.0,61.0,7
46.7244,-110.8892,1988,stream/river,6,1,1,1.0,76.0,8.0,59.0,26.0,2.0,2.0,2.0,1.0,27.0,161.0,9
46.7267,-110.8592,1989,stream/river,6,1,1,1.0,73.0,9.0,51.0,23.0,3.0,2.0,2.0,1.0,26.0,128.0,8
46.72,-110.8586,1990,stream/river,7,1,1,1.0,63.0,11.0,42.0,28.0,3.0,2.0,2.0,0.0,27.0,94.0,7
46.7742,-110.8967,1991,stream/river,5,1,5,0.0,61.0,8.0,56.0,49.0,3.0,2.0,1.0,1.0,33.0,103.0,8
46.7783,-110.9083,1992,stream/river,14,1,1,1.0,66.0,9.0,47.0,28.0,4.0,2.0,1.0,1.0,84.0,198.0,5
46.7669,-110.9475,1993,stream/river,5,1,1,0.0,64.0,7.0,48.0,17.0,2.0,2.0,1.0,1.0,32.0,141.0,7
46.7811,-110.9667,1994,stream/river,20,2,1,1.0,67.0,8.0,61.0,36.0,3.0,2.0,1.0,1.0,24.0,117.0,5
46.7764,-110.9806,1995,stream/river,19,2,1,1.0,87.0,22.0,82.0,27.0,8.0,3.0,1.0,0.0,78.0,465.0,9
46.7844,-110.9892,1996,stream/river,15,1,1,1.0,72.0,9.0,58.0,30.0,3.0,2.0,0.0,0.0,30.0,100.0,5
46.8283,-110.9353,1997,stream/river,6,1,1,0.0,98.0,12.0,61.0,88.0,3.0,2.0,1.0,1.0,21.0,92.0,7
46.8353,-110.9725,1998,stream/river,7,2,1,0.0,99.0,12.0,74.0,27.0,3.0,2.0,1.0,1.0,20.0,82.0,4
46.8444,-110.9858,1999,stream/river,7,2,1,0.0,81.0,14.0,103.0,56.0,4.0,2.0,1.0,0.0,19.0,105.0,9
46.8494,-110.9956,2000,stream/river,9,2,1,1.0,101.0,14.0,110.0,42.0,4.0,2.0,1.0,1.0,29.0,109.0,6
46.8111,-110.8994,2001,stream/river,9,2,1,1.0,100.0,12.0,59.0,39.0,2.0,1.0,1.0,1.0,86.0,72.0,5
46.8278,-110.8814,2002,stream/river,8,1,1,0.0,103.0,10.0,89.0,14.0,3.0,3.0,1.0,1.0,17.0,55.0,8
46.8397,-110.8697,2003,stream/river,22,2,1,1.0,87.0,11.0,60.0,189.0,3.0,2.0,1.0,0.0,20.0,140.0,3
46.8636,-110.8375,2004,stream/river,10,2,1.0,6.0,100.0,13.0,75.0,37.0,3.0,2.0,1.0,1.0,21.0,89.0,2
46.8567,-110.85,2005,stream/river,5,1,1,0.0,95.0,11.0,66.0,29.0,3.0,2.0,1.0,1.0,20.0,89.0,5
46.8578,-110.8519,2006,stream/river,14,2,1.0,0.0,118.0,12.0,109.0,20.0,4.0,3.0,1.0,0.0,22.0,70.0,9
46.8681,-110.8272,2007,stream/river,31,2,0,1.0,86.0,11.0,73.0,34.0,3.0,3.0,1.0,0.0,17.0,95.0,7
46.8717,-110.8056,2008,stream/river,16,2,1.0,0.0,91.0,11.0,75.0,40.0,3.0,3.0,1.0,0.0,26.0,68.0,4
46.7356,-110.9889,2009,stream/river,12,1,2.0,0.0,64.0,8.0,66.0,23.0,3.0,2.0,1.0,1.0,40.0,134.0,5
46.7461,-110.9911,2010,stream/river,7,1,2.0,0.0,59.0,6.0,42.0,38.0,2.0,2.0,1.0,1.0,29.0,102.0,6
46.7997,-110.8017,2011,stream/river,12,2,1.0,1.0,93.0,9.0,67.0,34.0,2.0,2.0,0.0,1.0,77.0,322.0,8
46.8197,-110.7719,2012,stream/river,17,2,1.0,2.0,70.0,11.0,49.0,80.0,2.0,1.0,0.0,1.0,110.0,140.0,4
46.8192,-110.7703,2013,stream/river,12,3,0.0,1.0,80.0,8.0,48.0,168.0,2.0,2.0,0.0,1.0,41.0,93.0,6
46.7958,-110.7736,2014,stream/river,5,2,1.0,0.0,90.0,13.0,108.0,25.0,3.0,3.0,1.0,1.0,21.0,76.0,6
46.8919,-110.7972,2015,stream/river,30,2,1.0,1.0,88.0,12.0,121.0,129.0,2.0,2.0,1.0,1.0,42.0,137.0,6
46.8931,-110.8144,2016,stream/river,33,1,0.0,1.0,70.0,23.0,51.0,29.0,3.0,1.0,0.0,1.0,31.0,121.0,8
46.8839,-110.7822,2017,stream/river,27,2,1.0,0.0,136.0,17.0,237.0,35.0,4.0,3.0,1.0,1.0,27.0,115.0,7
46.7344,-111.0386,2018,stream/river,5,1,1.0,0.0,75.0,7.0,39.0,16.0,2.0,2.0,1.0,1.0,23.0,92.0,9